main_category,viewed,carted,purchased,view_to_cart_rate,cart_to_purchase_rate,funnel_completion_rate
electronics,22938689.0,1283501.0,616383.0,5.6,48.02,2.69
appliances,7230093.0,255520.0,103109.0,3.53,40.35,1.43
computers,3769749.0,89009.0,33961.0,2.36,38.15,0.9
apparel,3479664.0,33984.0,10720.0,0.98,31.54,0.31
furniture,2187340.0,26023.0,8868.0,1.19,34.08,0.41
auto,1313808.0,27955.0,11094.0,2.13,39.69,0.84
construction,1039691.0,26501.0,9586.0,2.55,36.17,0.92
kids,894860.0,14680.0,5167.0,1.64,35.2,0.58
accessories,466886.0,5313.0,1790.0,1.14,33.69,0.38
sport,264919.0,4175.0,1390.0,1.58,33.29,0.52
