category_code,march_carted_count,april_carted_count,march_rate,april_rate,change_pp
computers.peripherals.printer,27702,13510,55.82,46.12,-9.7
construction.tools.light,664556,639602,59.58,50.05,-9.53
electronics.clocks,47544,37739,53.21,44.52,-8.69
apparel.trousers,10229,10945,51.32,43.77,-7.55
sport.bicycle,93869,77152,50.77,44.64,-6.13
electronics.audio.headphone,63991,72301,51.0,45.88,-5.12
kids.toys,12574,13312,44.97,39.9,-5.07
apparel.shoes.slipons,19728,23346,48.13,43.3,-4.83
appliances.personal.massager,63841,72076,51.35,46.54,-4.81
furniture.bedroom.blanket,16792,19167,50.77,46.81,-3.96
appliances.kitchen.washer,27589,24995,50.99,47.03,-3.96
apparel.shoes.sandals,22027,16496,44.56,41.13,-3.43
apparel.shoes,48205,48203,45.14,42.31,-2.83
appliances.environment.vacuum,36412,40109,51.67,49.09,-2.58
appliances.kitchen.toster,11885,27971,45.34,43.27,-2.07
apparel.shoes.keds,13001,13875,44.94,43.39,-1.56
appliances.kitchen.refrigerators,39266,48340,45.01,43.86,-1.16
apparel.scarf,12040,13551,33.47,35.06,1.59
appliances.kitchen.blender,10998,19294,45.04,46.78,1.75
sport.trainer,14421,15516,39.36,41.19,1.83
accessories.bag,12113,13363,36.3,38.94,2.64
furniture.kitchen.table,16591,32438,36.66,39.54,2.88
construction.tools.welding,10542,14908,40.56,43.76,3.19
