category_code,viewed_count,carted_count,purchased_count,view_to_cart_rate,cart_to_purchase_rate,funnel_completion_rate
construction.tools.light,42690934,3426109,1894628,8.03,55.3,4.44
electronics.clocks,6424142,248641,122262,3.87,49.17,1.9
sport.bicycle,6418797,457637,217952,7.13,47.63,3.4
appliances.kitchen.refrigerators,5996764,213376,97195,3.56,45.55,1.62
appliances.personal.massager,5952240,326089,158177,5.48,48.51,2.66
electronics.audio.headphone,5945879,231714,114837,3.9,49.56,1.93
apparel.shoes,5914362,277002,119253,4.68,43.05,2.02
computers.peripherals.printer,3781149,112731,56859,2.98,50.44,1.5
appliances.environment.vacuum,3324952,172083,84638,5.18,49.18,2.55
kids.toys,2675481,72246,28491,2.7,39.44,1.06
apparel.shoes.sandals,2439284,103278,45464,4.23,44.02,1.86
sport.trainer,2431616,67131,23690,2.76,35.29,0.97
apparel.shoes.keds,2379557,70053,30071,2.94,42.93,1.26
appliances.kitchen.washer,2365501,137107,66500,5.8,48.5,2.81
accessories.bag,2182883,54191,19650,2.48,36.26,0.9
apparel.shoes.slipons,2041617,93460,43512,4.58,46.56,2.13
construction.components.faucet,1979142,71968,37870,3.64,52.62,1.91
furniture.kitchen.table,1899023,81741,30470,4.3,37.28,1.6
apparel.shorts,1884142,36269,14746,1.92,40.66,0.78
appliances.kitchen.toster,1837636,59704,25047,3.25,41.95,1.36
apparel.scarf,1834768,65764,19167,3.58,29.15,1.04
furniture.bedroom.blanket,1709574,86547,41385,5.06,47.82,2.42
apparel.shirt,1684442,45480,17594,2.7,38.69,1.04
construction.tools.drill,1669175,33083,14195,1.98,42.91,0.85
furniture.bedroom.bed,1623753,49267,19559,3.03,39.7,1.2
apparel.underwear,1549035,35887,12463,2.32,34.73,0.8
kids.skates,1453488,40259,17815,2.77,44.25,1.23
electronics.video.tv,1448385,42556,19072,2.94,44.82,1.32
appliances.kitchen.coffee_grinder,1394353,64318,38415,4.61,59.73,2.76
construction.tools.welding,1374069,50077,19790,3.64,39.52,1.44
apparel.costume,1352339,48205,18972,3.56,39.36,1.4
electronics.audio.subwoofer,1243133,42262,18527,3.4,43.84,1.49
sport.ski,1198697,37142,16048,3.1,43.21,1.34
furniture.living_room.sofa,1169244,25254,8831,2.16,34.97,0.76
computers.desktop,1142911,43232,15879,3.78,36.73,1.39
electronics.smartphone,1114322,25366,11863,2.28,46.77,1.06
appliances.kitchen.oven,1051778,48231,20534,4.59,42.57,1.95
appliances.kitchen.grill,1048841,33959,11598,3.24,34.15,1.11
appliances.kitchen.blender,1012072,56084,25305,5.54,45.12,2.5
