event_date,viewed,carted,purchased,view_to_cart_rate,cart_to_purchase_rate,funnel_completion_rate
2019-10-01,836603.0,10818.0,5723.0,1.29,52.9,0.68
2019-10-02,792947.0,11321.0,6020.0,1.43,53.18,0.76
2019-10-03,740287.0,12509.0,6433.0,1.69,51.43,0.87
2019-10-04,907204.0,29503.0,13057.0,3.25,44.26,1.44
2019-10-05,857846.0,23362.0,10731.0,2.72,45.93,1.25
2019-10-06,854463.0,20945.0,9744.0,2.45,46.52,1.14
2019-10-07,793438.0,11717.0,6380.0,1.48,54.45,0.8
2019-10-08,923109.0,12210.0,6576.0,1.32,53.86,0.71
2019-10-09,902995.0,12042.0,6565.0,1.33,54.52,0.73
2019-10-10,853294.0,12356.0,6474.0,1.45,52.4,0.76
2019-10-11,996782.0,13713.0,7008.0,1.38,51.1,0.7
2019-10-12,977907.0,13119.0,6711.0,1.34,51.15,0.69
2019-10-13,1077971.0,16044.0,8077.0,1.49,50.34,0.75
2019-10-14,933170.0,31147.0,14218.0,3.34,45.65,1.52
2019-10-15,994763.0,34180.0,13514.0,3.44,39.54,1.36
2019-10-16,986104.0,31422.0,15194.0,3.19,48.35,1.54
2019-10-17,911530.0,28039.0,13738.0,3.08,49.0,1.51
2019-10-18,983328.0,27150.0,12643.0,2.76,46.57,1.29
2019-10-19,947962.0,27054.0,12297.0,2.85,45.45,1.3
2019-10-20,986775.0,27374.0,12546.0,2.77,45.83,1.27
2019-10-21,919693.0,25086.0,11717.0,2.73,46.71,1.27
2019-10-22,923145.0,25363.0,12069.0,2.75,47.59,1.31
2019-10-23,903536.0,25353.0,11878.0,2.81,46.85,1.31
2019-10-24,856467.0,24392.0,11553.0,2.85,47.36,1.35
2019-10-25,937052.0,25344.0,11354.0,2.7,44.8,1.21
2019-10-26,872971.0,24217.0,11042.0,2.77,45.6,1.26
2019-10-27,897442.0,23559.0,11224.0,2.63,47.64,1.25
2019-10-28,837939.0,11844.0,6413.0,1.41,54.15,0.77
2019-10-29,818438.0,11447.0,6063.0,1.4,52.97,0.74
2019-10-30,786568.0,11430.0,6196.0,1.45,54.21,0.79
2019-10-31,810487.0,11352.0,6079.0,1.4,53.55,0.75
2019-11-01,937329.0,12955.0,6713.0,1.38,51.82,0.72
2019-11-02,1009737.0,12804.0,6503.0,1.27,50.79,0.64
2019-11-03,1012924.0,13220.0,6708.0,1.31,50.74,0.66
2019-11-04,1170564.0,15149.0,7702.0,1.29,50.84,0.66
2019-11-05,1121465.0,13622.0,7038.0,1.21,51.67,0.63
2019-11-06,1102162.0,13780.0,7288.0,1.25,52.89,0.66
2019-11-07,1179540.0,13676.0,7048.0,1.16,51.54,0.6
2019-11-08,1218691.0,52992.0,23735.0,4.35,44.79,1.95
2019-11-09,1202168.0,49057.0,21128.0,4.08,43.07,1.76
2019-11-10,1238845.0,49764.0,21237.0,4.02,42.68,1.71
2019-11-11,1295577.0,52510.0,22975.0,4.05,43.75,1.77
2019-11-12,1288294.0,49225.0,21011.0,3.82,42.68,1.63
2019-11-13,1296099.0,49978.0,20806.0,3.86,41.63,1.61
2019-11-14,1848230.0,111532.0,20339.0,6.03,18.24,1.1
2019-11-16,3879591.0,266133.0,50509.0,6.86,18.98,1.3
2019-11-17,3645782.0,273544.0,147913.0,7.5,54.07,4.06
2019-11-18,1303957.0,58006.0,26154.0,4.45,45.09,2.01
2019-11-19,1119355.0,50392.0,23033.0,4.5,45.71,2.06
2019-11-20,1098170.0,49855.0,22963.0,4.54,46.06,2.09
2019-11-21,1077167.0,50943.0,23134.0,4.73,45.41,2.15
2019-11-22,1001685.0,47845.0,22066.0,4.78,46.12,2.2
2019-11-23,996432.0,44377.0,20435.0,4.45,46.05,2.05
2019-11-24,1006611.0,46051.0,21367.0,4.57,46.4,2.12
2019-11-25,1013245.0,48967.0,22790.0,4.83,46.54,2.25
2019-11-26,1059331.0,49698.0,22174.0,4.69,44.62,2.09
2019-11-27,1057568.0,49314.0,22522.0,4.66,45.67,2.13
2019-11-28,1056823.0,49694.0,22427.0,4.7,45.13,2.12
2019-11-29,1155813.0,62902.0,28656.0,5.44,45.56,2.48
2019-11-30,1091814.0,56285.0,26005.0,5.16,46.2,2.38
