base_month,next_month,user_stage,user_count,user_share_pct,revisit_users,revisit_rate,revisit_user_share_pct
2019-12,2020-01,View only,3649958,79.74,1282058,35.13,71.33
2019-12,2020-01,Cart but no Purchase,426277,9.31,225372,52.87,12.54
2019-12,2020-01,Purchase,500997,10.95,289998,57.88,16.13
2020-01,2020-02,View only,3641845,83.03,1284564,35.27,75.44
2020-01,2020-02,Cart but no Purchase,385035,8.78,212999,55.32,12.51
2020-01,2020-02,Purchase,359105,8.19,205160,57.13,12.05
2020-02,2020-03,View only,3424800,80.9,1208779,35.29,72.84
2020-02,2020-03,Cart but no Purchase,416050,9.83,230394,55.38,13.88
2020-02,2020-03,Purchase,392356,9.27,220412,56.18,13.28
2020-03,2020-04,View only,3303744,80.3,1097149,33.21,71.89
2020-03,2020-04,Cart but no Purchase,356829,8.67,181253,50.8,11.88
2020-03,2020-04,Purchase,453487,11.02,247843,54.65,16.24
